Ticker;;;;
A;A;WAAR;'A',;'A',
AA;AA;WAAR;'AA',;'AA',
AAL;AAL;WAAR;'AAL',;'AAL',
AAMC;AAMC;WAAR;'AAMC',;'AAMC',
AAME;AAME;WAAR;'AAME',;'AAME',
AAN;AAN;WAAR;'AAN',;'AAN',
AAOI;AAOI;WAAR;'AAOI',;'AAOI',
AAON;AAON;WAAR;'AAON',;'AAON',
AAP;AAP;WAAR;'AAP',;'AAP',
AAPL;AAPL;WAAR;'AAPL',;'AAPL',
AAT;AAT;WAAR;'AAT',;'AAT',
AAWW;AAWW;WAAR;'AAWW',;'AAWW',
ABAX;ABAX;WAAR;'ABAX',;'ABAX',
ABBV;ABBV;WAAR;'ABBV',;'ABBV',
ABC;ABC;WAAR;'ABC',;'ABC',
ABCB;ABCB;WAAR;'ABCB',;'ABCB',
ABCD;ABCD;WAAR;'ABCD',;'ABCD',
ABCL;ABCL;WAAR;'ABCL',;'ABCL',
ABEO;ABEO;WAAR;'ABEO',;'ABEO',
ABG;ABG;WAAR;'ABG',;'ABG',
ABIO;ABIO;WAAR;'ABIO',;'ABIO',
ABM;ABM;WAAR;'ABM',;'ABM',
ABMC;ABMC;WAAR;'ABMC',;'ABMC',
ABMD;ABMD;WAAR;'ABMD',;'ABMD',
ABNB;ABNB;WAAR;'ABNB',;'ABNB',
ABR;ABR;WAAR;'ABR',;'ABR',
ABSI;ABSI;WAAR;'ABSI',;'ABSI',
ABT;ABT;WAAR;'ABT',;'ABT',
ABTL;ABTL;WAAR;'ABTL',;'ABTL',
ABTX;ABTX;WAAR;'ABTX',;'ABTX',
ABUS;ABUS;WAAR;'ABUS',;'ABUS',
AC;AC;WAAR;'AC',;'AC',
ACA;ACA;WAAR;'ACA',;'ACA',
ACAD;ACAD;WAAR;'ACAD',;'ACAD',
ACAN;ACAN;WAAR;'ACAN',;'ACAN',
ACAT;ACAT;WAAR;'ACAT',;'ACAT',
ACC;ACC;WAAR;'ACC',;'ACC',
ACCO;ACCO;WAAR;'ACCO',;'ACCO',
ACER;ACER;WAAR;'ACER',;'ACER',
ACET;ACET;WAAR;'ACET',;'ACET',
ACET_delis;ACET_delis;WAAR;'ACET_delis',;'ACET_delis',
ACGL;ACGL;WAAR;'ACGL',;'ACGL',
ACHC;ACHC;WAAR;'ACHC',;'ACHC',
ACI;ACI;WAAR;'ACI',;'ACI',
ACIA;ACIA;WAAR;'ACIA',;'ACIA',
ACIW;ACIW;WAAR;'ACIW',;'ACIW',
ACLS;ACLS;WAAR;'ACLS',;'ACLS',
ACLX;ACLX;WAAR;'ACLX',;'ACLX',
ACM;ACM;WAAR;'ACM',;'ACM',
ACN;ACN;WAAR;'ACN',;'ACN',
ACRX;ACRX;WAAR;'ACRX',;'ACRX',
ACT;ACT;WAAR;'ACT',;'ACT',
ACU;ACU;WAAR;'ACU',;'ACU',
ACW;ACW;WAAR;'ACW',;'ACW',
ADBE;ADBE;WAAR;'ADBE',;'ADBE',
ADES;ADES;WAAR;'ADES',;'ADES',
ADI;ADI;WAAR;'ADI',;'ADI',
